player,tenure_start,tenure_complete,tenure_finish,experience,year_min,year_max,allstar_games,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,onbase_plus_slugging_plus,pos_summary
Eric O'Flaherty,-,-,-,1,2015,2015,0,14,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Tom O'Malley,-,-,F,2,1989,1990,0,91,144,132,16,33,9,0,3,22,0,0,11,22,.250,.306,.386,.692,91,5-3
Ryan O'Rourke,-,-,F,1,2019,2019,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Alex Ochoa,S,-,-,3,1995,1997,0,206,605,557,75,152,34,4,7,55,8,7,37,72,.273,.320,.386,.706,88,O
José Offerman,-,-,F,1,2005,2005,0,53,80,72,5,18,2,0,1,10,0,0,6,11,.250,.316,.319,.636,70,-3-4
Bob Ojeda,-,-,-,5,1986,1990,0,142,268,242,11,30,2,0,0,3,0,0,7,81,.124,.149,.132,.281,-19,1
John Olerud,-,-,-,3,1997,1999,0,476,2018,1662,288,524,109,5,63,291,5,2,306,206,.315,.425,.501,.926,142,+3
Darren Oliver,-,-,-,1,2006,2006,0,43,16,15,2,2,1,0,0,2,0,0,1,7,.133,.188,.200,.388,1,1
Garrett Olson,-,-,F,1,2012,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
José Oquendo,S,-,-,2,1983,1984,0,201,564,517,52,112,12,0,1,27,18,10,34,86,.217,.269,.246,.514,45,6
Rey Ordóñez,S,-,-,7,1996,2002,0,916,3216,2937,275,720,115,17,8,260,28,22,187,313,.245,.290,.304,.594,58,+6
Jesse Orosco,S,-,-,8,1979,1987,2,372,71,56,2,10,0,0,0,4,0,0,6,23,.179,.250,.179,.429,22,+1-O
Joe Orsulak,-,-,-,3,1993,1995,0,338,1076,991,139,274,37,6,17,114,10,9,63,81,.276,.319,.377,.696,86,O-3
Rafael Ortega,-,-,-,1,2023,2023,0,47,136,114,16,25,3,0,1,8,6,1,20,33,.219,.341,.272,.613,74,O
Junior Ortiz,-,-,-,2,1983,1984,0,108,288,276,16,65,8,0,0,23,2,0,8,49,.236,.258,.264,.522,47,2
Eric Orze,S,C,F,1,2024,2024,0,0,0,,,,,,,,,,,,,,,,,-1
Brian Ostrosser,S,C,F,1,1973,1973,0,4,5,5,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,-6
Corey Oswalt,S,C,F,4,2018,2021,0,19,24,19,0,0,0,0,0,1,0,0,0,11,.000,.000,.000,.000,-100,-1
Ricky Otero,S,-,-,1,1995,1995,0,35,55,51,5,7,2,0,0,1,2,1,3,10,.137,.185,.176,.362,-2,-O
Amos Otis,S,-,-,2,1967,1969,0,67,168,152,12,27,5,1,0,5,1,4,11,40,.178,.238,.224,.461,31,O-5
Adam Ottavino,-,-,F,3,2022,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
Henry Owens,S,-,-,1,2006,2006,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Rick Ownbey,S,-,-,2,1982,1983,0,21,28,24,5,4,0,0,0,1,0,0,2,6,.167,.231,.167,.397,13,-1
John Pacella,S,-,-,3,1977,1980,0,39,26,24,0,2,1,0,0,1,0,0,0,8,.083,.083,.125,.208,-42,1
Tom Paciorek,-,-,-,1,1985,1985,0,46,124,116,14,33,3,1,1,11,1,0,6,14,.284,.325,.353,.679,91,-O-3
Juan Padilla,-,-,F,1,2005,2005,0,24,2,2,0,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,168,-1
Ángel Pagán,-,-,-,4,2008,2011,0,393,1646,1491,214,423,84,23,24,170,87,23,124,233,.284,.337,.419,.756,106,+O
Joe Panik,-,-,-,1,2019,2019,0,39,103,94,17,26,4,1,2,12,0,0,7,9,.277,.333,.404,.738,98,-4
Craig Paquette,-,-,-,1,1998,1998,0,7,19,19,3,5,2,0,0,0,1,0,0,6,.263,.263,.368,.632,65,-5-3-O
Chan Ho Park,-,-,-,1,2007,2007,0,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,-1
Harry Parker,-,-,-,3,1973,1975,0,96,76,61,1,4,0,0,0,4,0,0,6,30,.066,.149,.066,.215,-38,1
Rick Parker,-,-,-,1,1994,1994,0,8,18,16,1,1,0,0,0,0,0,0,0,2,.063,.063,.063,.125,-67,-O
Bobby Parnell,S,-,-,8,2008,2015,0,314,14,9,1,1,0,0,0,0,0,0,0,3,.111,.111,.111,.222,-40,+1
José Parra,-,-,F,1,2004,2004,0,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Tom Parsons,-,-,F,2,1964,1965,0,39,27,25,1,1,0,0,0,0,0,0,1,19,.040,.077,.040,.117,-65,1
Val Pascucci,-,-,F,1,2011,2011,0,10,11,11,1,3,0,0,1,2,0,0,0,3,.273,.273,.545,.818,123,-3
Ronny Paulino,-,-,-,1,2011,2011,0,78,248,228,19,61,13,0,2,19,0,0,15,38,.268,.312,.351,.663,86,2
Jay Payton,S,-,-,5,1998,2002,0,368,1247,1154,143,321,47,5,33,128,14,17,70,152,.278,.322,.413,.735,91,+O
Bill Pecota,-,-,-,1,1992,1992,0,117,302,269,28,61,13,0,2,26,9,3,25,40,.227,.293,.297,.590,69,564-3-1
Al Pedrique,S,-,-,1,1987,1987,0,5,7,6,1,0,0,0,0,0,0,0,1,2,.000,.143,.000,.143,-57,-6-4
Mike Pelfrey,S,-,-,7,2006,2012,0,144,304,264,13,26,5,0,0,13,0,0,13,70,.098,.146,.117,.264,-27,1
Brock Pemberton,S,C,F,2,1974,1975,0,13,24,24,0,4,0,0,0,1,0,1,0,4,.167,.167,.167,.333,-6,-3
Alejandro Peña,-,-,-,2,1990,1991,0,96,7,6,2,1,0,0,0,1,0,0,1,3,.167,.286,.167,.452,28,1
José Peraza,-,-,F,1,2021,2021,0,64,154,142,21,29,7,0,6,20,1,0,9,26,.204,.266,.380,.647,75,4-5-O-6
Michael Pérez,-,-,F,2,2022,2023,0,9,24,22,3,6,1,0,0,3,0,0,2,7,.273,.333,.318,.652,87,-2
Óliver Pérez,-,-,-,5,2006,2010,0,97,179,156,9,23,1,0,0,5,1,1,8,53,.147,.189,.154,.343,-8,1
Timo Pérez,S,-,-,4,2000,2003,0,372,1177,1078,121,297,61,8,18,114,17,19,56,95,.276,.312,.397,.709,87,+O
Yorkis Pérez,-,-,-,1,1997,1997,0,9,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,-1
Robert Person,S,-,-,2,1995,1996,0,32,29,24,2,5,1,0,0,0,0,0,0,12,.208,.208,.250,.458,23,1
Roberto Petagine,-,-,-,2,1996,1997,0,62,131,114,12,24,3,0,4,19,0,2,12,33,.211,.300,.342,.642,73,3-O
David Peterson,S,C,F,5,2020,2024,0,14,20,16,2,1,1,0,0,0,0,0,0,10,.063,.118,.125,.243,-33,1
Tim Peterson,S,C,F,2,2018,2019,0,24,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,-1
Bobby Pfeil,S,-,-,1,1969,1969,0,62,223,211,20,49,9,0,0,10,0,1,7,27,.232,.260,.275,.535,49,5-4-O
Tommy Pham,-,-,-,1,2023,2023,0,79,264,231,29,62,15,1,10,36,11,1,29,56,.268,.348,.472,.820,125,O
Andy Phillips,-,-,-,1,2008,2008,0,4,5,5,1,1,0,0,0,0,0,0,0,0,.200,.200,.200,.400,7,-O-3
Jason Phillips,S,-,-,4,2001,2004,0,264,894,791,85,207,44,0,19,95,0,2,75,94,.262,.337,.389,.727,91,23
Mike Phillips,-,-,-,3,1975,1977,0,241,803,731,66,183,16,14,6,60,5,3,52,91,.250,.299,.335,.635,82,6-4-5
Tony Phillips,-,-,-,1,1998,1998,0,52,229,188,25,42,11,0,3,14,1,1,38,44,.223,.351,.330,.681,82,O
Mike Piazza HOF,-,-,-,8,1998,2005,7,972,3941,3478,532,1028,193,2,220,655,7,9,424,546,.296,.373,.542,.915,136,+23
Jim Piersall,-,-,-,1,1963,1963,0,40,140,124,13,24,4,1,1,10,1,2,10,14,.194,.250,.266,.516,49,O
Joe Pignatano,-,-,F,1,1962,1962,0,27,58,56,2,13,2,0,0,2,0,0,2,11,.232,.259,.268,.526,42,-2
Tyler Pill,S,C,F,1,2017,2017,0,7,5,5,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,-1
Kevin Pillar,-,-,-,1,2021,2021,0,124,347,325,40,75,11,2,15,47,4,3,11,81,.231,.277,.415,.692,87,O-1
Kevin Plawecki,S,-,-,4,2015,2018,0,237,804,703,68,153,33,2,14,75,1,1,76,175,.218,.308,.330,.638,77,2-3-1
Nick Plummer,S,C,F,1,2022,2022,0,14,31,29,4,4,1,0,2,6,0,0,1,12,.138,.194,.379,.573,60,-O
Rick Porcello,-,-,F,1,2020,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Brooks Pounders,-,-,F,1,2019,2019,0,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Grover Powell,S,C,F,1,1963,1963,0,20,12,10,1,2,0,0,0,0,0,0,2,3,.200,.333,.200,.533,58,-1
Todd Pratt,-,-,-,5,1997,2001,0,276,640,555,78,147,30,1,17,87,3,1,67,151,.265,.354,.414,.769,100,2-3-O
Jason Pridie,-,-,-,1,2011,2011,0,101,236,208,28,48,11,3,4,20,7,1,24,64,.231,.309,.370,.679,90,O
Rich Puig,S,C,F,1,1974,1974,0,4,11,10,0,0,0,0,0,0,0,0,1,2,.000,.091,.000,.091,-73,-4-5
Charlie Puleo,S,-,-,2,1981,1982,0,40,58,50,3,6,0,0,0,0,0,0,2,20,.120,.154,.120,.274,-22,1
Bill Pulsipher,S,-,-,3,1995,2000,0,32,52,41,4,4,2,0,0,4,0,0,5,20,.098,.188,.146,.334,-9,1
J.J. Putz,-,-,-,1,2009,2009,0,28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Jose Quintana,-,-,F,2,2023,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
Omar Quintanilla,-,-,F,3,2012,2014,0,139,470,414,43,94,15,2,3,28,2,0,48,92,.227,.310,.295,.605,74,6-4-5
Gary Rajsich,S,-,-,2,1982,1983,0,91,222,198,22,54,11,3,3,15,1,3,20,41,.273,.345,.404,.749,110,O-3
Brooks Raley,-,-,F,2,2023,2024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
Elvin Ramírez,S,C,F,1,2012,2012,0,18,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,-1
Erasmo Ramírez,-,-,-,1,2020,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Mario Ramirez,S,-,-,1,1980,1980,0,18,26,24,2,5,0,0,0,0,0,0,1,7,.208,.240,.208,.448,28,-6-4-5
Neil Ramírez,-,-,-,1,2017,2017,0,19,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,-1
Ramón Ramírez,-,-,-,1,2012,2012,0,57,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
Yohan Ramírez,-,-,-,1,2024,2024,0,0,0,,,,,,,,,,,,,,,,,-1
AJ Ramos,-,-,-,2,2017,2018,0,47,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
Wilson Ramos,-,-,-,2,2019,2020,0,186,679,615,65,170,25,0,19,88,1,0,54,100,.276,.339,.410,.748,102,2
Lenny Randle,-,-,-,2,1977,1978,0,268,1093,950,131,258,38,15,7,62,47,32,129,127,.272,.358,.365,.724,103,5-4-O-6
Willie Randolph,-,-,F,1,1992,1992,0,90,336,286,29,72,11,1,2,15,1,3,40,34,.252,.352,.318,.670,93,4
Bob Rauch,S,C,F,1,1972,1972,0,19,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,-1
Jon Rauch,-,-,-,1,2012,2012,0,68,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
Jeff Reardon,S,-,-,3,1979,1981,0,97,10,9,0,0,0,0,0,0,0,0,1,6,.000,.100,.000,.100,-69,1
Anthony Recker,-,-,-,3,2013,2015,0,140,432,389,41,74,17,0,15,51,2,2,34,148,.190,.256,.350,.606,71,2-3-5-1
Tim Redding,-,-,F,1,2009,2009,0,28,32,29,0,2,0,0,0,0,0,0,0,9,.069,.069,.069,.138,-63,1
Prentice Redman,S,C,F,1,2003,2003,0,15,27,24,3,3,1,0,1,2,2,0,1,9,.125,.192,.292,.484,26,-O
Addison Reed,-,-,-,3,2015,2017,0,138,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
Darren Reed,S,-,-,1,1990,1990,0,26,42,39,5,8,4,1,1,2,1,0,3,11,.205,.262,.436,.698,89,-O
Jake Reed,-,-,-,2,2021,2022,0,4,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,-1
Jeremy Reed,-,-,-,1,2009,2009,0,126,178,161,9,39,6,2,0,9,0,3,14,36,.242,.301,.304,.605,63,O-3
Rick Reed,-,-,-,5,1997,2001,2,134,312,255,22,44,8,0,2,21,0,0,9,79,.173,.201,.227,.429,12,1-O
Steve Reed,-,-,-,1,2002,2002,0,24,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,-1
Sean Reid-Foley,-,-,F,4,2021,2024,0,11,2,0,0,0,0,0,0,0,0,0,2,0,,1.000,,,,1
Jack Reinheimer,-,-,F,1,2018,2018,0,21,35,30,4,5,0,0,0,0,1,1,5,9,.167,.286,.167,.452,32,-O-5-6-4
Desi Relaford,-,-,-,1,2001,2001,0,120,340,301,43,91,27,0,8,36,13,5,27,65,.302,.364,.472,.836,119,4-6-5-1
Mike Remlinger,-,-,-,2,1994,1995,0,15,21,17,1,0,0,0,0,1,0,0,1,6,.000,.056,.000,.056,-84,-1
Hal Reniff,-,-,F,1,1967,1967,0,29,4,4,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,-1
Argenis Reyes,S,C,F,2,2008,2009,0,58,139,127,13,26,0,0,1,3,3,0,5,24,.205,.246,.228,.475,27,4-6
Denyi Reyes,-,-,F,1,2023,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
José Reyes,S,-,F,12,2003,2018,4,1365,5931,5437,885,1534,272,113,108,521,408,102,428,676,.282,.334,.433,.768,104,+654-O-1
Matt Reynolds,S,-,-,3,2016,2022,0,116,226,202,23,46,9,2,4,18,0,2,18,71,.228,.300,.351,.652,76,65-4-O-3
Ronn Reynolds,S,-,-,3,1982,1985,0,54,126,113,8,22,3,0,0,3,0,0,9,31,.195,.258,.221,.479,36,2
Tommie Reynolds,-,-,-,1,1967,1967,0,101,152,136,16,28,1,0,2,9,1,1,11,26,.206,.278,.257,.535,56,O-5-2
Armando Reynoso,-,-,-,2,1997,1998,0,26,63,59,5,12,2,0,1,3,0,0,2,30,.203,.226,.288,.514,35,-1
Jacob Rhame,S,C,F,3,2017,2019,0,42,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,1
Dennis Ribant,S,-,-,3,1964,1966,0,76,93,87,5,14,2,0,0,6,0,0,2,14,.161,.180,.184,.364,4,1
Scott Rice,S,C,F,2,2013,2014,0,98,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
Gordie Richardson,-,-,F,2,1965,1966,0,50,9,8,0,0,0,0,0,0,0,0,0,8,.000,.000,.000,.000,-100,1
Jerrod Riggan,S,-,-,2,2000,2001,0,36,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,1
Ricardo Rincón,-,-,F,1,2008,2008,0,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Royce Ring,S,-,-,2,2005,2006,0,22,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Luis Rivera,-,-,-,1,1994,1994,0,32,49,43,11,12,2,1,3,5,0,1,4,14,.279,.367,.581,.949,144,-6-4
René Rivera,-,-,-,4,2016,2020,0,130,418,380,29,86,8,0,15,52,0,1,28,115,.226,.288,.366,.654,75,2-3
T.J. Rivera,S,C,F,2,2016,2017,0,106,344,319,37,97,17,2,8,43,1,0,12,49,.304,.335,.445,.780,108,45-3-O
Jason Roach,S,C,F,1,2003,2003,0,1,2,2,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,432,-1
Kevin Roberson,-,-,F,1,1996,1996,0,27,46,36,8,8,1,0,3,9,0,0,7,17,.222,.348,.500,.848,126,-O
Dave Roberts,-,-,F,1,1981,1981,0,7,4,4,1,1,0,0,0,0,0,0,0,2,.250,.250,.250,.500,44,-1
Grant Roberts,S,C,F,5,2000,2004,0,75,5,4,1,1,0,0,0,0,0,0,0,3,.250,.250,.250,.500,34,1
David Robertson,-,-,-,1,2023,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
Hansel Robles,S,-,-,4,2015,2018,0,178,5,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,1
Francisco Rodríguez,-,-,-,3,2009,2011,1,152,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,1
Joely Rodríguez,-,-,-,1,2022,2022,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
Rich Rodriguez,-,-,-,1,2000,2000,0,28,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,1
Kenny Rogers,-,-,-,1,1999,1999,0,12,30,25,2,3,0,0,0,1,0,0,2,10,.120,.185,.120,.305,-19,-1
Les Rohr,S,C,F,3,1967,1969,0,6,7,6,0,0,0,0,0,0,0,0,1,3,.000,.143,.000,.143,-55,-1
Mel Rojas,-,-,-,2,1997,1998,0,70,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
Luis Rosado,S,C,F,2,1977,1980,0,11,32,28,1,5,1,0,0,3,0,0,1,4,.179,.219,.214,.433,21,-3-2
Amed Rosario,S,-,-,4,2017,2020,0,403,1564,1478,187,396,63,20,32,148,50,25,67,326,.268,.302,.403,.705,91,+6-O
Brian Rose,-,-,-,1,2001,2001,0,3,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,-1
Don Rose,S,-,-,1,1971,1971,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Vinny Rottino,-,-,-,1,2012,2012,0,18,39,33,8,6,1,0,2,5,3,0,6,9,.182,.308,.394,.702,94,-O-3-5
Don Rowe,S,C,F,1,1963,1963,0,26,13,13,0,3,0,0,0,1,0,0,0,5,.231,.231,.231,.462,34,-1
Darin Ruf,-,-,-,1,2022,2022,0,28,74,66,6,10,3,0,0,7,0,0,5,20,.152,.216,.197,.413,20,-3-O-1
Justin Ruggiano,-,-,-,1,2016,2016,0,8,22,20,4,7,0,0,2,6,0,1,2,9,.350,.409,.650,1.059,182,-O
Glendon Rusch,-,-,-,3,1999,2001,0,61,118,104,2,6,0,0,0,6,0,0,4,42,.058,.093,.058,.150,-59,1
Dick Rusteck,S,C,F,1,1966,1966,0,8,5,5,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,-1
Nolan Ryan HOF,S,-,-,5,1966,1971,0,105,179,165,11,22,0,1,0,5,1,0,5,85,.133,.159,.145,.304,-13,1
Bret Saberhagen,-,-,-,4,1992,1995,1,76,201,166,11,22,4,0,0,1,0,0,11,41,.133,.186,.157,.343,-6,1
Ray Sadecki,-,-,F,6,1970,1977,0,165,181,160,9,34,2,0,0,9,0,0,5,33,.213,.236,.225,.461,30,1
Fernando Salas,-,-,-,2,2016,2017,0,63,2,2,0,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,171,1
Joe Sambito,-,-,-,1,1985,1985,0,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Amado Samuel,-,-,F,1,1964,1964,0,53,151,142,7,33,7,0,0,5,0,1,4,24,.232,.264,.282,.545,57,6-5-4
Juan Samuel,-,-,-,1,1989,1989,0,86,370,333,37,76,13,1,3,28,31,9,24,75,.228,.299,.300,.599,76,O
Ali Sánchez,S,-,-,1,2020,2020,0,5,10,9,0,1,0,0,0,0,0,0,1,3,.111,.200,.111,.311,-10,-2
Duaner Sánchez,-,-,-,2,2006,2008,0,109,3,1,1,0,0,0,0,0,0,0,0,1,.000,.500,.000,.500,47,1
Gary Sánchez,-,-,-,1,2023,2023,0,3,7,6,0,1,0,0,0,1,0,0,0,3,.167,.143,.167,.310,-14,-2
Rey Sánchez,-,-,-,1,2003,2003,0,56,183,174,11,36,3,1,0,12,1,1,8,18,.207,.240,.236,.476,27,6-4
Yolmer Sanchez,-,-,F,1,2022,2022,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-5-6
Ken Sanders,-,-,-,2,1975,1976,0,61,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,1
Dennis Santana,-,-,-,1,2023,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Johan Santana,-,-,F,4,2008,2012,1,101,247,217,8,32,11,0,1,6,0,0,8,74,.147,.178,.212,.390,5,1
Rafael Santana,-,-,-,4,1984,1987,0,483,1632,1514,134,376,62,4,8,113,2,4,103,171,.248,.296,.310,.607,69,+6-4
Héctor Santiago,-,-,-,1,2019,2019,0,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
José Santiago,-,-,F,1,2005,2005,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Omir Santos,-,-,-,1,2009,2009,0,96,306,281,28,73,14,1,7,40,0,0,15,44,.260,.296,.391,.688,82,2
Mackey Sasser,-,-,-,5,1988,1992,0,420,1002,944,82,267,58,5,15,133,0,3,40,72,.283,.309,.403,.712,101,2O-3-5
Josh Satin,S,C,F,4,2011,2014,0,116,292,251,28,61,18,0,3,22,1,1,37,82,.243,.346,.351,.696,100,3-5
Doug Saunders,S,C,F,1,1993,1993,0,28,73,67,8,14,2,0,0,0,0,0,3,4,.209,.243,.239,.482,31,-4-5-6
Rich Sauveur,-,-,-,1,1991,1991,0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Mac Scarce,-,-,-,1,1975,1975,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Jimmie Schaffer,-,-,-,1,1965,1965,0,24,38,37,0,5,2,0,0,0,0,0,1,15,.135,.158,.189,.347,0,-2
Dan Schatzeder,-,-,-,1,1990,1990,0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Max Scherzer,-,-,-,2,2022,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
Calvin Schiraldi,S,-,-,2,1984,1985,0,15,11,11,0,1,0,0,0,0,0,0,0,4,.091,.091,.091,.182,-49,-1
Al Schmelz,S,C,F,1,1967,1967,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Dave Schneck,S,C,F,3,1972,1974,0,143,443,413,32,82,14,4,8,35,4,2,27,73,.199,.251,.310,.560,58,O
Brian Schneider,-,-,-,2,2008,2009,0,169,578,505,41,123,21,0,12,62,0,0,60,74,.244,.323,.356,.680,81,2
Scott Schoeneweis,-,-,-,2,2007,2008,0,139,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,1
Dick Schofield,-,-,-,1,1992,1992,0,142,498,420,52,86,18,2,4,36,11,4,60,82,.205,.309,.286,.595,71,6
Pete Schourek,S,-,-,3,1991,1993,0,99,108,96,2,12,1,0,0,8,0,0,5,33,.125,.165,.135,.300,-15,1
Ted Schreiber,S,C,F,1,1963,1963,0,39,55,50,1,8,0,0,0,2,0,1,4,14,.160,.236,.160,.396,17,-5-6-4
Don Schulze,-,-,-,1,1987,1987,0,5,5,2,1,0,0,0,0,1,0,0,2,2,.000,.500,.000,.500,51,-1
Chris Schwinden,S,C,F,2,2011,2012,0,7,11,10,1,2,0,0,0,1,0,0,1,3,.200,.273,.200,.473,35,-1
Christian Scott,S,C,F,1,2024,2024,0,0,0,,,,,,,,,,,,,,,,,-1
Mike Scott,S,-,-,4,1979,1982,0,84,121,110,7,11,4,0,0,5,0,0,8,52,.100,.160,.136,.296,-15,1
Marco Scutaro,S,-,-,2,2002,2003,0,75,129,111,12,24,4,1,3,12,2,1,13,25,.216,.299,.351,.651,72,4-6-5-O
Ray Searage,S,-,-,1,1981,1981,0,26,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,476,-1
Tom Seaver HOF,S,-,-,12,1967,1983,9,420,1139,975,70,146,17,5,6,60,4,0,80,355,.150,.217,.196,.412,18,+1
David Segui,-,-,-,2,1994,1995,0,125,467,409,55,105,20,2,12,54,1,3,45,52,.257,.330,.403,.733,92,3O
Aaron Sele,-,-,F,1,2007,2007,0,31,6,4,0,0,0,0,0,0,0,0,1,1,.000,.200,.000,.200,-41,1
Dick Selma,S,-,-,4,1965,1968,0,120,113,103,8,17,2,1,0,2,1,0,2,41,.165,.187,.204,.391,15,1
Frank Seminara,-,-,F,1,1994,1994,0,10,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,-1
Kodai Senga,S,C,F,2,2023,2024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
Jae Weong Seo,S,-,-,4,2002,2005,0,73,130,112,7,13,3,0,0,5,1,0,8,39,.116,.182,.143,.325,-12,1
Luis Severino,-,-,F,1,2024,2024,0,0,0,,,,,,,,,,,,,,,,,-1
Paul Sewald,S,-,-,4,2017,2020,0,117,9,8,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,1
Art Shamsky,-,-,-,4,1968,1971,0,406,1345,1186,133,316,48,11,42,162,4,4,127,141,.266,.341,.432,.773,117,O3
Bob Shaw,-,-,-,2,1966,1967,0,49,87,75,1,14,0,0,0,2,0,0,5,25,.187,.235,.187,.421,22,1
Don Shaw,S,-,-,2,1967,1968,0,47,6,3,1,0,0,0,0,0,0,0,2,1,.000,.400,.000,.400,26,1
Gary Sheffield,-,-,F,1,2009,2009,0,100,312,268,44,74,13,2,10,43,2,1,40,46,.276,.372,.451,.823,119,O
Norm Sherry,-,-,F,1,1963,1963,0,63,161,147,6,20,1,0,2,11,1,0,10,26,.136,.205,.184,.389,13,2
Tsuyoshi Shinjo,S,-,F,2,2001,2003,0,185,562,514,56,129,26,1,11,63,4,6,31,82,.251,.302,.370,.672,77,O
Craig Shipley,-,-,-,1,1989,1989,0,4,7,7,3,1,0,0,0,0,0,0,0,1,.143,.143,.143,.286,-16,-6-5
Bart Shirley,-,-,-,1,1967,1967,0,6,12,12,1,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,-100,-4
Kelly Shoppach,-,-,-,1,2012,2012,0,28,87,79,7,16,2,0,3,10,0,0,5,27,.203,.276,.342,.618,71,-2
Bill Short,-,-,-,1,1968,1968,0,34,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,1
Zack Short,-,-,-,1,2024,2024,0,10,12,9,2,1,0,0,0,0,0,1,2,4,.111,.273,.111,.384,17,-5-4-6
Chasen Shreve,-,-,-,2,2020,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
Paul Siebert,-,-,F,2,1977,1978,0,52,2,2,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,1
Doug Simons,S,-,-,1,1991,1991,0,42,4,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,1
Ken Singleton,S,-,-,2,1970,1971,0,184,600,496,56,125,13,0,18,72,1,2,91,112,.252,.369,.387,.756,111,O
