player,tenure_start,tenure_complete,tenure_finish,experience,year_min,year_max,allstar_games,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,onbase_plus_slugging_plus,pos_summary
John Maine,-,-,-,5,2006,2010,0,101,208,166,10,16,1,0,1,8,0,0,11,84,.096,.161,.120,.282,-24,1
Sean Manaea,-,-,F,1,2024,2024,0,0,0,,,,,,,,,,,,,,,,,-1
Pepe Mangual,-,-,F,2,1976,1977,0,49,123,109,16,20,5,2,1,11,7,3,11,36,.183,.258,.294,.552,61,O
Phil Mankowski,-,-,F,2,1980,1982,0,21,52,47,3,10,2,0,0,5,0,1,3,10,.213,.250,.255,.505,43,-5
Jim Mann,S,-,-,1,2000,2000,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
Félix Mantilla,-,-,-,1,1962,1962,0,141,518,466,54,128,17,4,11,59,3,1,37,51,.275,.330,.399,.729,95,5-6-4
Barry Manuel,-,-,-,1,1997,1997,0,19,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,-1
Josías Manzanillo,-,-,-,4,1993,1999,0,68,7,6,0,1,0,0,0,0,0,0,0,3,.167,.167,.167,.333,-12,1
Shaun Marcum,-,-,-,1,2013,2013,0,14,27,22,0,3,1,0,0,0,0,0,0,5,.136,.174,.182,.356,2,-1
Jake Marisnick,-,-,-,1,2020,2020,0,16,34,33,4,11,3,0,2,5,0,0,1,10,.333,.353,.606,.959,158,-O
Deven Marrero,-,-,F,1,2022,2022,0,5,6,6,0,0,0,0,0,0,1,0,0,3,.000,.000,.000,.000,-100,-6-5
Eli Marrero,-,-,F,1,2006,2006,0,25,41,33,4,6,1,0,2,5,2,0,4,15,.182,.282,.394,.676,73,-O-2-3-5
Dave Marshall,-,-,-,3,1970,1972,0,264,637,559,70,136,24,2,13,61,10,5,65,125,.243,.323,.363,.686,93,O
